,NAICS 1 Code,NAICS 1 Description
0,111110,Soybean Farming
1,111120,Oilseed (except Soybean) Farming
2,111130,Dry Pea and Bean Farming
3,111140,Wheat Farming
4,111150,Corn Farming
5,111160,Rice Farming
6,111199,All Other Grain Farming
7,111211,Potato Farming
8,111219,Other Vegetable (except Potato) and Melon Farming
9,111310,Orange Groves
10,111320,Citrus (except Orange) Groves
11,111331,Apple Orchards
12,111332,Grape Vineyards
13,111333,Strawberry Farming
14,111334,Berry (except Strawberry) Farming
15,111335,Tree Nut Farming
16,111336,Fruit and Tree Nut Combination Farming
17,111339,Other Noncitrus Fruit Farming
18,111411,Mushroom Production
19,111419,Other Food Crops Grown Under Cover
20,111421,Nursery and Tree Production
21,111422,Floriculture Production
22,111910,Tobacco Farming
23,111920,Cotton Farming
24,111930,Sugarcane Farming
25,111940,Hay Farming
26,111991,Sugar Beet Farming
27,111992,Peanut Farming
28,111998,All Other Miscellaneous Crop Farming
29,112111,Beef Cattle Ranching and Farming
30,112112,Cattle Feedlots
31,112120,Dairy Cattle and Milk Production
32,112210,Hog and Pig Farming
33,112310,Chicken Egg Production
34,112320,Broilers and Other Meat Type Chicken Production
35,112330,Turkey Production
36,112340,Poultry Hatcheries
37,112390,Other Poultry Production
38,112410,Sheep Farming
39,112420,Goat Farming
40,112511,Finfish Farming and Fish Hatcheries
41,112512,Shellfish Farming
42,112519,Other Aquaculture
43,112910,Apiculture
44,112920,Horses and Other Equine Production
45,112930,Fur-Bearing Animal and Rabbit Production
46,112990,All Other Animal Production
47,113110,Timber Tract Operations
48,113210,Forest Nurseries and Gathering of Forest Products
49,113310,Logging
50,114111,Finfish Fishing
51,114112,Shellfish Fishing
52,114119,Other Marine Fishing
53,114210,Hunting and Trapping
54,115111,Cotton Ginning
55,115112,"Soil Preparation, Planting, and Cultivating"
56,115113,"Crop Harvesting, Primarily by Machine"
57,115114,Postharvest Crop Activities (except Cotton Ginning)
58,115115,Farm Labor Contractors and Crew Leaders
59,115116,Farm Management Services
60,115210,Support Activities for Animal Production
61,115310,Support Activities for Forestry
62,211120,Crude Petroleum Extraction
63,211130,Natural Gas Extraction
64,212111,Bituminous Coal and Lignite Surface Mining
65,212112,Bituminous Coal Underground Mining
66,212113,Anthracite Mining
67,212210,Iron Ore Mining
68,212221,Gold Ore Mining
69,212222,Silver Ore Mining
70,212230,"Copper, Nickel, Lead, and Zinc Mining"
71,212291,Uranium-Radium-Vanadium Ore Mining
72,212299,All Other Metal Ore Mining
73,212311,Dimension Stone Mining and Quarrying
74,212312,Crushed and Broken Limestone Mining and Quarrying
75,212313,Crushed and Broken Granite Mining and Quarrying
76,212319,Other Crushed and Broken Stone Mining and Quarrying
77,212321,Construction Sand and Gravel Mining
78,212322,Industrial Sand Mining
79,212324,Kaolin and Ball Clay Mining
80,212325,Clay and Ceramic and Refractory Minerals Mining
81,212391,"Potash, Soda, and Borate Mineral Mining"
82,212392,Phosphate Rock Mining
83,212393,Other Chemical and Fertilizer Mineral Mining
84,212399,All Other Nonmetallic Mineral Mining
85,213111,Drilling Oil and Gas Wells
86,213112,Support Activities for Oil and Gas Operations
87,213113,Support Activities for Coal Mining
88,213114,Support Activities for Metal Mining
89,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining
90,221111,Hydroelectric Power Generation
91,221112,Fossil Fuel Electric Power Generation
92,221113,Nuclear Electric Power Generation
93,221114,Solar Electric Power Generation
94,221115,Wind Electric Power Generation
95,221116,Geothermal Electric Power Generation
96,221117,Biomass Electric Power Generation
97,221118,Other Electric Power Generation
98,221121,Electric Bulk Power Transmission and Control
99,221122,Electric Power Distribution
100,221210,Natural Gas Distribution
101,221310,Water Supply and Irrigation Systems
102,221320,Sewage Treatment Facilities
103,221330,Steam and Air-Conditioning Supply
104,236115,New Single-Family Housing Construction (except For-Sale Builders)
105,236116,New Multifamily Housing Construction (except For-Sale Builders)
106,236117,New Housing For-Sale Builders
107,236118,Residential Remodelers
108,236210,Industrial Building Construction
109,236220,Commercial and Institutional Building Construction
110,237110,Water and Sewer Line and Related Structures Construction
111,237120,Oil and Gas Pipeline and Related Structures Construction
112,237130,Power and Communication Line and Related Structures Construction
113,237210,Land Subdivision
114,237310,"Highway, Street, and Bridge Construction"
115,237990,Other Heavy and Civil Engineering Construction
116,238110,Poured Concrete Foundation and Structure Contractors
117,238120,Structural Steel and Precast Concrete Contractors
118,238130,Framing Contractors
119,238140,Masonry Contractors
120,238150,Glass and Glazing Contractors
121,238160,Roofing Contractors
122,238170,Siding Contractors
123,238190,"Other Foundation, Structure, and Building Exterior Contractors"
124,238210,Electrical Contractors and Other Wiring Installation Contractors
125,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
126,238290,Other Building Equipment Contractors
127,238310,Drywall and Insulation Contractors
128,238320,Painting and Wall Covering Contractors
129,238330,Flooring Contractors
130,238340,Tile and Terrazzo Contractors
131,238350,Finish Carpentry Contractors
132,238390,Other Building Finishing Contractors
133,238910,Site Preparation Contractors
134,238990,All Other Specialty Trade Contractors
135,311111,Dog and Cat Food Manufacturing
136,311119,Other Animal Food Manufacturing
137,311211,Flour Milling
138,311212,Rice Milling
139,311213,Malt Manufacturing
140,311221,Wet Corn Milling
141,311224,Soybean and Other Oilseed Processing
142,311225,Fats and Oils Refining and Blending
143,311230,Breakfast Cereal Manufacturing
144,311313,Beet Sugar Manufacturing
145,311314,Cane Sugar Manufacturing
146,311340,Nonchocolate Confectionery Manufacturing
147,311351,Chocolate and Confectionery Manufacturing from Cacao Beans
148,311352,Confectionery Manufacturing from Purchased Chocolate
149,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing"
150,311412,Frozen Specialty Food Manufacturing
151,311421,Fruit and Vegetable Canning
152,311422,Specialty Canning
153,311423,Dried and Dehydrated Food Manufacturing
154,311511,Fluid Milk Manufacturing
155,311512,Creamery Butter Manufacturing
156,311513,Cheese Manufacturing
157,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing"
158,311520,Ice Cream and Frozen Dessert Manufacturing
159,311611,Animal (except Poultry) Slaughtering
160,311612,Meat Processed from Carcasses
161,311613,Rendering and Meat Byproduct Processing
162,311615,Poultry Processing
163,311710,Seafood Product Preparation and Packaging
164,311811,Retail Bakeries
165,311812,Commercial Bakeries
166,311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing"
167,311821,Cookie and Cracker Manufacturing
168,311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour"
169,311830,Tortilla Manufacturing
170,311911,Roasted Nuts and Peanut Butter Manufacturing
171,311919,Other Snack Food Manufacturing
172,311920,Coffee and Tea Manufacturing
173,311930,Flavoring Syrup and Concentrate Manufacturing
174,311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
175,311942,Spice and Extract Manufacturing
176,311991,Perishable Prepared Food Manufacturing
177,311999,All Other Miscellaneous Food Manufacturing
178,312111,Soft Drink Manufacturing
179,312112,Bottled Water Manufacturing
180,312113,Ice Manufacturing
181,312120,Breweries
182,312130,Wineries
183,312140,Distilleries
184,312230,Tobacco Manufacturing
185,313110,"Fiber, Yarn, and Thread Mills"
186,313210,Broadwoven Fabric Mills
187,313220,Narrow Fabric Mills and Schiffli Machine Embroidery
188,313230,Nonwoven Fabric Mills
189,313240,Knit Fabric Mills
190,313310,Textile and Fabric Finishing Mills
191,313320,Fabric Coating Mills
192,314110,Carpet and Rug Mills
193,314120,Curtain and Linen Mills
194,314910,Textile Bag and Canvas Mills
195,314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
196,314999,All Other Miscellaneous Textile Product Mills
197,315110,Hosiery and Sock Mills
198,315190,Other Apparel Knitting Mills
199,315210,Cut and Sew Apparel Contractors
200,315220,Men's and Boys's Cut and Sew Apparel Manufacturing
201,315240,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing"
202,315280,Other Cut and Sew Apparel Manufacturing
203,315990,Apparel Accessories and Other Apparel Manufacturing
204,316110,Leather and Hide Tanning and Finishing
205,316210,Footwear Manufacturing
206,316992,Women's Handbag and Purse Manufacturing
207,316998,All Other Leather Good and Allied Product Manufacturing
208,321113,Sawmills
209,321114,Wood Preservation
210,321211,Hardwood Veneer and Plywood Manufacturing
211,321212,Softwood Veneer and Plywood Manufacturing
212,321213,Engineered Wood Member (except Truss) Manufacturing
213,321214,Truss Manufacturing
214,321219,Reconstituted Wood Product Manufacturing
215,321911,Wood Window and Door Manufacturing
216,321912,"Cut Stock, Resawing Lumber, and Planing"
217,321918,Other Millwork (including Flooring)
218,321920,Wood Container and Pallet Manufacturing
219,321991,Manufactured Home (Mobile Home) Manufacturing
220,321992,Prefabricated Wood Building Manufacturing
221,321999,All Other Miscellaneous Wood Product Manufacturing
222,322110,Pulp Mills
223,322121,Paper (except Newsprint) Mills
224,322122,Newsprint Mills
225,322130,Paperboard Mills
226,322211,Corrugated and Solid Fiber Box Manufacturing
227,322212,Folding Paperboard Box Manufacturing
228,322219,Other Paperboard Container Manufacturing
229,322220,Paper Bag and Coated and Treated Paper Manufacturing
230,322230,Stationery Product Manufacturing
231,322291,Sanitary Paper Product Manufacturing
232,322299,All Other Converted Paper Product Manufacturing
233,323111,Commercial Printing (except Screen and Books)
234,323113,Commercial Screen Printing
235,323117,Books Printing
236,323120,Support Activities for Printing
237,324110,Petroleum Refineries
238,324121,Asphalt Paving Mixture and Block Manufacturing
239,324122,Asphalt Shingle and Coating Materials Manufacturing
240,324191,Petroleum Lubricating Oil and Grease Manufacturing
241,324199,All Other Petroleum and Coal Products Manufacturing
242,325110,Petrochemical Manufacturing
243,325120,Industrial Gas Manufacturing
244,325130,Synthetic Dye and Pigment Manufacturing
245,325180,Other Basic Inorganic Chemical Manufacturing
246,325193,Ethyl Alcohol Manufacturing
247,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing"
248,325199,All Other Basic Organic Chemical Manufacturing
249,325211,Plastics Material and Resin Manufacturing
250,325212,Synthetic Rubber Manufacturing
251,325220,Artificial and Synthetic Fibers and Filaments Manufacturing
252,325311,Nitrogenous Fertilizer Manufacturing
253,325312,Phosphatic Fertilizer Manufacturing
254,325314,Fertilizer (Mixing Only) Manufacturing
255,325320,Pesticide and Other Agricultural Chemical Manufacturing
256,325411,Medicinal and Botanical Manufacturing
257,325412,Pharmaceutical Preparation Manufacturing
258,325413,In-Vitro Diagnostic Substance Manufacturing
259,325414,Biological Product (except Diagnostic) Manufacturing
260,325510,Paint and Coating Manufacturing
261,325520,Adhesive Manufacturing
262,325611,Soap and Other Detergent Manufacturing
263,325612,Polish and Other Sanitation Good Manufacturing
264,325613,Surface Active Agent Manufacturing
265,325620,Toilet Preparation Manufacturing
266,325910,Printing Ink Manufacturing
267,325920,Explosives Manufacturing
268,325991,Custom Compounding of Purchased Resins
269,325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing"
270,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
271,326111,Plastics Bag and Pouch Manufacturing
272,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing
273,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing
274,326121,Unlaminated Plastics Profile Shape Manufacturing
275,326122,Plastics Pipe and Pipe Fitting Manufacturing
276,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
277,326140,Polystyrene Foam Product Manufacturing
278,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing
279,326160,Plastics Bottle Manufacturing
280,326191,Plastics Plumbing Fixture Manufacturing
281,326199,All Other Plastics Product Manufacturing
282,326211,Tire Manufacturing (except Retreading)
283,326212,Tire Retreading
284,326220,Rubber and Plastics Hoses and Belting Manufacturing
285,326291,Rubber Product Manufacturing for Mechanical Use
286,326299,All Other Rubber Product Manufacturing
287,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
288,327120,Clay Building Material and Refractories Manufacturing
289,327211,Flat Glass Manufacturing
290,327212,Other Pressed and Blown Glass and Glassware Manufacturing
291,327213,Glass Container Manufacturing
292,327215,Glass Product Manufacturing Made of Purchased Glass
293,327310,Cement Manufacturing
294,327320,Ready-Mix Concrete Manufacturing
295,327331,Concrete Block and Brick Manufacturing
296,327332,Concrete Pipe Manufacturing
297,327390,Other Concrete Product Manufacturing
298,327410,Lime Manufacturing
299,327420,Gypsum Product Manufacturing
300,327910,Abrasive Product Manufacturing
301,327991,Cut Stone and Stone Product Manufacturing
302,327992,Ground or Treated Mineral and Earth Manufacturing
303,327993,Mineral Wool Manufacturing
304,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing
305,331110,Iron and Steel Mills and Ferroalloy Manufacturing
306,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
307,331221,Rolled Steel Shape Manufacturing
308,331222,Steel Wire Drawing
309,331313,Alumina Refining and Primary Aluminum Production
310,331314,Secondary Smelting and Alloying of Aluminum
311,331315,"Aluminum Sheet, Plate, and Foil Manufacturing"
312,331318,"Other Aluminum Rolling, Drawing, and Extruding"
313,331410,Nonferrous Metal (except Aluminum) Smelting and Refining
314,331420,"Copper Rolling, Drawing, Extruding, and Alloying"
315,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding"
316,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)"
317,331511,Iron Foundries
318,331512,Steel Investment Foundries
319,331513,Steel Foundries (except Investment)
320,331523,Nonferrous Metal Die-Casting Foundries
321,331524,Aluminum Foundries (except Die-Casting)
322,331529,Other Nonferrous Metal Foundries (except Die-Casting)
323,332111,Iron and Steel Forging
324,332112,Nonferrous Forging
325,332114,Custom Roll Forming
326,332117,Powder Metallurgy Part Manufacturing
327,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)"
328,332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing"
329,332216,Saw Blade and Handtool Manufacturing
330,332311,Prefabricated Metal Building and Component Manufacturing
331,332312,Fabricated Structural Metal Manufacturing
332,332313,Plate Work Manufacturing
333,332321,Metal Window and Door Manufacturing
334,332322,Sheet Metal Work Manufacturing
335,332323,Ornamental and Architectural Metal Work Manufacturing
336,332410,Power Boiler and Heat Exchanger Manufacturing
337,332420,Metal Tank (Heavy Gauge) Manufacturing
338,332431,Metal Can Manufacturing
339,332439,Other Metal Container Manufacturing
340,332510,Hardware Manufacturing
341,332613,Spring Manufacturing
342,332618,Other Fabricated Wire Product Manufacturing
343,332710,Machine Shops
344,332721,Precision Turned Product Manufacturing
345,332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
346,332811,Metal Heat Treating
347,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers"
348,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
349,332911,Industrial Valve Manufacturing
350,332912,Fluid Power Valve and Hose Fitting Manufacturing
351,332913,Plumbing Fixture Fitting and Trim Manufacturing
352,332919,Other Metal Valve and Pipe Fitting Manufacturing
353,332991,Ball and Roller Bearing Manufacturing
354,332992,Small Arms Ammunition Manufacturing
355,332993,Ammunition (except Small Arms) Manufacturing
356,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing"
357,332996,Fabricated Pipe and Pipe Fitting Manufacturing
358,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
359,333111,Farm Machinery and Equipment Manufacturing
360,333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing
361,333120,Construction Machinery Manufacturing
362,333131,Mining Machinery and Equipment Manufacturing
363,333132,Oil and Gas Field Machinery and Equipment Manufacturing
364,333241,Food Product Machinery Manufacturing
365,333242,Semiconductor Machinery Manufacturing
366,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing"
367,333244,Printing Machinery and Equipment Manufacturing
368,333249,Other Industrial Machinery Manufacturing
369,333314,Optical Instrument and Lens Manufacturing
370,333316,Photographic and Photocopying Equipment Manufacturing
371,333318,Other Commercial and Service Industry Machinery Manufacturing
372,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing
373,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing
374,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
375,333511,Industrial Mold Manufacturing
376,333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing"
377,333515,Cutting Tool and Machine Tool Accessory Manufacturing
378,333517,Machine Tool Manufacturing
379,333519,Rolling Mill and Other Metalworking Machinery Manufacturing
380,333611,Turbine and Turbine Generator Set Units Manufacturing
381,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing"
382,333613,Mechanical Power Transmission Equipment Manufacturing
383,333618,Other Engine Equipment Manufacturing
384,333912,Air and Gas Compressor Manufacturing
385,333914,"Measuring, Dispensing and Other Pumping Equipment Manufacturing"
386,333921,Elevator and Moving Stairway Manufacturing
387,333922,Conveyor and Conveying Equipment Manufacturing
388,333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing"
389,333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing"
390,333991,Power-Driven Handtool Manufacturing
391,333992,Welding and Soldering Equipment Manufacturing
392,333993,Packaging Machinery Manufacturing
393,333994,Industrial Process Furnace and Oven Manufacturing
394,333995,Fluid Power Cylinder and Actuator Manufacturing
395,333996,Fluid Power Pump and Motor Manufacturing
396,333997,Scale and Balance Manufacturing
397,333999,All Other Miscellaneous General Purpose Machinery Manufacturing
398,334111,Electronic Computer Manufacturing
399,334112,Computer Storage Device Manufacturing
400,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing
401,334210,Telephone Apparatus Manufacturing
402,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
403,334290,Other Communications Equipment Manufacturing
404,334310,Audio and Video Equipment Manufacturing
405,334412,Bare Printed Circuit Board Manufacturing
406,334413,Semiconductor and Related Device Manufacturing
407,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing"
408,334417,Electronic Connector Manufacturing
409,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing
410,334419,Other Electronic Component Manufacturing
411,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing
412,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing"
413,334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use"
414,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables"
415,334514,Totalizing Fluid Meter and Counting Device Manufacturing
416,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals
417,334516,Analytical Laboratory Instrument Manufacturing
418,334517,Irradiation Apparatus Manufacturing
419,334519,Other Measuring and Controlling Device Manufacturing
420,334613,Blank Magnetic and Optical Recording Media Manufacturing
421,334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing"
422,335110,Electric Lamp Bulb and Part Manufacturing
423,335121,Residential Electric Lighting Fixture Manufacturing
424,335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing"
425,335129,Other Lighting Equipment Manufacturing
426,335210,Small Electrical Appliance Manufacturing
427,335220,Major Household Appliance Manufacturing
428,335311,"Power, Distribution, and Specialty Transformer Manufacturing"
429,335312,Motor and Generator Manufacturing
430,335313,Switchgear and Switchboard Apparatus Manufacturing
431,335314,Relay and Industrial Control Manufacturing
432,335911,Storage Battery Manufacturing
433,335912,Primary Battery Manufacturing
434,335921,Fiber Optic Cable Manufacturing
435,335929,Other Communication and Energy Wire Manufacturing
436,335931,Current-Carrying Wiring Device Manufacturing
437,335932,Noncurrent-Carrying Wiring Device Manufacturing
438,335991,Carbon and Graphite Product Manufacturing
439,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing
440,336111,Automobile Manufacturing
441,336112,Light Truck and Utility Vehicle Manufacturing
442,336120,Heavy Duty Truck Manufacturing
443,336211,Motor Vehicle Body Manufacturing
444,336212,Truck Trailer Manufacturing
445,336213,Motor Home Manufacturing
446,336214,Travel Trailer and Camper Manufacturing
447,336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
448,336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing
449,336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
450,336340,Motor Vehicle Brake System Manufacturing
451,336350,Motor Vehicle Transmission and Power Train Parts Manufacturing
452,336360,Motor Vehicle Seating and Interior Trim Manufacturing
453,336370,Motor Vehicle Metal Stamping
454,336390,Other Motor Vehicle Parts Manufacturing
455,336411,Aircraft Manufacturing
456,336412,Aircraft Engine and Engine Parts Manufacturing
457,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing
458,336414,Guided Missile and Space Vehicle Manufacturing
459,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing
460,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing
461,336510,Railroad Rolling Stock Manufacturing
462,336611,Ship Building and Repairing
463,336612,Boat Building
464,336991,"Motorcycle, Bicycle, and Parts Manufacturing"
465,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing"
466,336999,All Other Transportation Equipment Manufacturing
467,337110,Wood Kitchen Cabinet and Countertop Manufacturing
468,337121,Upholstered Household Furniture Manufacturing
469,337122,Nonupholstered Wood Household Furniture Manufacturing
470,337124,Metal Household Furniture Manufacturing
471,337125,Household Furniture (except Wood and Metal) Manufacturing
472,337127,Institutional Furniture Manufacturing
473,337211,Wood Office Furniture Manufacturing
474,337212,Custom Architectural Woodwork and Millwork Manufacturing
475,337214,Office Furniture (except Wood) Manufacturing
476,337215,"Showcase, Partition, Shelving, and Locker Manufacturing"
477,337910,Mattress Manufacturing
478,337920,Blind and Shade Manufacturing
479,339112,Surgical and Medical Instrument Manufacturing
480,339113,Surgical Appliance and Supplies Manufacturing
481,339114,Dental Equipment and Supplies Manufacturing
482,339115,Ophthalmic Goods Manufacturing
483,339116,Dental Laboratories
484,339910,Jewelry and Silverware Manufacturing
485,339920,Sporting and Athletic Goods Manufacturing
486,339930,"Doll, Toy, and Game Manufacturing"
487,339940,Office Supplies (except Paper) Manufacturing
488,339950,Sign Manufacturing
489,339991,"Gasket, Packing, and Sealing Device Manufacturing"
490,339992,Musical Instrument Manufacturing
491,339993,"Fastener, Button, Needle, and Pin Manufacturing"
492,339994,"Broom, Brush, and Mop Manufacturing"
493,339995,Burial Casket Manufacturing
494,339999,All Other Miscellaneous Manufacturing
495,423110,Automobile and Other Motor Vehicle Merchant Wholesalers
496,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers
497,423130,Tire and Tube Merchant Wholesalers
498,423140,Motor Vehicle Parts (Used) Merchant Wholesalers
499,423210,Furniture Merchant Wholesalers
500,423220,Home Furnishing Merchant Wholesalers
501,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
502,423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers"
503,423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers"
504,423390,Other Construction Material Merchant Wholesalers
505,423410,Photographic Equipment and Supplies Merchant Wholesalers
506,423420,Office Equipment Merchant Wholesalers
